Sehir,Ilk Doz,Ikinci Doz,Toplam Doz
Adana,562.233,338.693,900.926
Adıyaman,128.082,74.064,202.146
Afyon,222.369,132.796,355.165
Ağrı,73.471,36.265,109.736
Amasya,136.688,83.481,220.169
Ankara,2.049.657,1.183.142,3.232.799
Antalya,789.662,501.953,1.291.615
Artvin,63.919,41.453,105.372
Aydın,438.106,278.803,716.909
Balıkesir,525.367,347.183,872.550
Bilecik,83.988,47.244,131.232
Bingöl,45.800,29.228,75.028
Bitlis,37.607,22.425,60.032
Bolu,122.424,72.335,194.759
Burdur,102.406,63.638,166.044
Bursa,922.864,522.201,1.445.065
Çanakkale,242.083,155.571,397.654
Çankırı,65.189,43.974,109.163
Çorum,188.353,116.395,304.748
Denizli,353.702,203.263,556.965
Diyarbakır,227.528,128.163,355.691
Edirne,178.797,119.000,297.797
Elazığ,151.220,96.618,247.838
Erzincan,72.922,46.732,119.654
Erzurum,161.261,101.752,263.013
Eskişehir,359.317,206.922,566.239
Gaziantep,369.770,195.818,565.588
Giresun,168.435,119.169,287.604
Gümüşhane,34.042,23.396,57.438
Hakkari,31.540,12.964,44.504
Hatay,378.350,212.534,590.884
Isparta,165.280,103.046,268.326
Mersin,553.433,335.593,889.026
İstanbul,4.440.577,2.304.302,6.744.879
İzmir,1.626.886,965.766,2.592.652
Kars,62.089,36.194,98.283
Kastamonu,143.076,95.862,238.938
Kayseri,399.719,237.824,637.543
Kırklareli,153.391,95.777,249.168
Kırşehir,85.101,52.699,137.800
Kocaeli,565.773,305.817,871.590
Konya,584.326,357.615,941.941
Kütahya,199.719,117.871,317.590
Malatya,227.824,141.755,369.579
Manisa,488.380,270.489,758.869
Kahramanmaraş,239.166,141.975,381.141
Mardin,90.482,50.316,140.798
Muğla,450.012,268.293,718.305
Muş,47.515,27.672,75.187
Nevşehir,97.085,56.728,153.813
Niğde,96.070,57.600,153.670
Ordu,279.994,180.391,460.385
Rize,113.167,74.819,187.986
Sakarya,290.633,175.866,466.499
Samsun,422.737,277.325,700.062
Siirt,34.412,18.611,53.023
Sinop,86.602,59.351,145.953
Sivas,191.756,120.046,311.802
Tekirdağ,325.345,199.184,524.529
Tokat,200.893,132.506,333.399
Trabzon,273.454,177.918,451.372
Tunceli,34.506,22.373,56.879
Şanlıurfa,194.832,103.230,298.062
Uşak,127.319,77.589,204.908
Van,161.643,83.641,245.284
Yozgat,120.236,78.528,198.764
Zonguldak,215.083,133.769,348.852
Aksaray,97.568,59.952,157.520
Bayburt,18.777,12.388,31.165
Karaman,74.339,46.470,120.809
Kırıkkale,89.589,56.950,146.539
Batman,81.704,46.218,127.922
Şırnak,50.473,21.960,72.433
Bartın,71.017,47.008,118.025
Ardahan,27.316,17.545,44.861
Iğdır,33.758,19.387,53.145
Yalova,102.539,63.776,166.315
Karabük,85.179,54.740,139.919
Kilis,32.486,17.011,49.497
Osmaniye,148.840,92.464,241.304
Düzce,111.983,70.569,182.552
